date,market,commodity,price_kes,rainfall_mm,region_type,dap_price_kes,year,month,week,dayofyear,quarter,is_long_rains,is_short_rains,is_rainy_season,is_harvest,is_end_month,is_december,week_sin,week_cos,month_sin,month_cos,price_lag_1,price_lag_2,price_lag_4,price_lag_8,price_roll_mean_4,price_roll_std_4,price_roll_mean_8,price_roll_std_8,price_roll_mean_12,price_roll_std_12,price_change_1w,price_change_4w,category,is_perishable,market_type,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_cum_3m,rainfall_anomaly_pct,is_drought,is_flood,rain_x_perishable,drought_x_perishable,dap_price_lag_1m,dap_price_lag_2m,dap_price_lag_3m,dap_price_change_1m,dap_price_change_3m,commodity_enc,market_enc,category_enc,market_type_enc,region_type_enc,price_kes_next_week
1911-10-15,Nairobi,Green Grams,10132.89,315.4,Highlands,2000.0,1911,10,41,288,4,0,1,1,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,10132.89,10132.89,10132.89,7159.86,10132.89,0.0,9018.00375,1538.6892074186987,8646.375,1566.9243920017325,0.0,0.0,Legume,0,Urban,315.4,315.4,315.4,946.1999999999999,0.0,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,3,12,1,2,2,10132.89
1911-10-15,Nairobi,Green Grams,10132.89,315.4,Highlands,2000.0,1911,10,41,288,4,0,1,1,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,10132.89,10132.89,7159.86,7159.86,10132.89,0.0,8646.375,1589.1513800857897,8481.206666666667,1566.9243920017325,0.0,0.4152357727665066,Legume,0,Urban,315.4,315.4,315.4,946.1999999999999,0.0,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,3,12,1,2,2,3375.85
1912-04-14,Kisumu,Maize,3375.85,760.7,Lake,2000.0,1912,4,15,105,2,1,0,1,0,0,0,0.9709418174260521,-0.2393156642875575,0.8660254037844387,-0.4999999999999998,3375.85,3375.85,2923.78,2923.78,3375.85,0.0,3149.815,241.6415792626993,3124.7,238.26181030538643,0.0,0.15461833653694868,Grain,0,Urban,760.7,760.7,760.7,2282.1000000000004,0.0,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,5,4,0,2,3,7024.6
1912-05-12,Meru,Beans (Mixed),7024.6,759.5,Highlands,2000.0,1912,5,19,133,2,1,0,1,0,0,0,0.7485107481711013,-0.663122658240795,0.49999999999999994,-0.8660254037844387,7024.6,7024.6,5852.34,5852.34,7024.6,0.0,6438.470000000001,626.5993268885169,6373.344444444445,617.8352683181639,0.0,0.20030620230540275,Legume,0,Rural,759.5,759.5,759.5,2278.5,0.0,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,0,10,1,1,2,2562.46
1912-09-08,Kisumu,Maize,2562.46,375.1,Lake,2000.0,1912,9,36,252,3,0,0,0,0,0,0,-0.9350162426854147,-0.3546048870425359,-1.0,-1.8369701987210297e-16,2562.46,2562.46,2562.46,3375.85,2562.46,0.0,2867.4812500000003,420.96931898510826,2923.92,365.59162716690514,0.0,0.0,Grain,0,Urban,375.1,375.1,375.1,1125.3000000000002,0.0,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,5,4,0,2,3,2562.46
1912-09-08,Kisumu,Maize,2562.46,375.1,Lake,2000.0,1912,9,36,252,3,0,0,0,0,0,0,-0.9350162426854147,-0.3546048870425359,-1.0,-1.8369701987210297e-16,2562.46,3375.85,3375.85,2923.78,2969.155,469.6109354561498,3059.485,364.73995593729904,3022.4745454545455,311.6771852530639,0.0,-0.2409437623117141,Grain,0,Urban,375.1,760.7,760.7,1510.9,-25.521212522337684,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,5,4,0,2,3,2562.46
1912-09-08,Kisumu,Maize,2562.46,375.1,Lake,2000.0,1912,9,36,252,3,0,0,0,0,0,0,-0.9350162426854147,-0.3546048870425359,-1.0,-1.8369701987210297e-16,2562.46,2562.46,3375.85,2923.78,2765.8075,406.69500000000016,3014.3199999999997,404.1827086850698,2984.14,325.49341727738374,0.0,-0.2409437623117141,Grain,0,Urban,375.1,375.1,760.7,1125.3000000000002,0.0,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,5,4,0,2,3,2562.46
1912-09-08,Kisumu,Maize,2562.46,375.1,Lake,2000.0,1912,9,36,252,3,0,0,0,0,0,0,-0.9350162426854147,-0.3546048870425359,-1.0,-1.8369701987210297e-16,2562.46,2562.46,3375.85,2923.78,2562.46,0.0,2969.1549999999997,434.77524311829376,2954.03,347.54946792441706,0.0,-0.2409437623117141,Grain,0,Urban,375.1,375.1,375.1,1125.3000000000002,0.0,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,5,4,0,2,3,2562.46
1912-09-08,Kisumu,Maize,2562.46,375.1,Lake,2000.0,1912,9,36,252,3,0,0,0,0,0,0,-0.9350162426854147,-0.3546048870425359,-1.0,-1.8369701987210297e-16,3375.85,3375.85,3375.85,2923.78,3172.5024999999996,406.69499999999994,3104.65,313.1201564894856,3068.476,286.48287865071444,-0.2409437623117141,-0.2409437623117141,Grain,0,Urban,760.7,760.7,760.7,1896.5,-40.66438175586606,0,0,0.0,0,2000.0,2000.0,2000.0,0.0,0.0,5,4,0,2,3,2264.09
1912-10-06,Eldoret,Irish Potatoes,2264.09,246.39999999999998,Highlands,2000.0,1912,10,40,280,4,0,1,1,0,0,0,-0.992708874098054,0.1205366802553232,-0.8660254037844386,0.5000000000000001,2264.09,2264.09,2280.72,2280.72,2264.09,0.0,2272.405,8.889108906007278,2273.3288888888887,8.764779581433311,0.0,-0.007291557052158781,Perishable,1,Rural,246.39999999999998,246.39999999999998,246.39999999999998,739.1999999999999,0.0,0,0,246.39999999999998,0,2000.0,2000.0,2000.0,0.0,0.0,4,0,2,1,2,4578.28
